구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
영등포구,신길동,신길파크자이,641,2022.02,80.66,59.99,24.40,160000,16억,169500,152000,서울특별시 영등포구 신길로28길 25,41520
영등포구,신길동,신길파크자이,641,2022.02,81.25,59.96,24.58,160000,16억,169500,152000,서울특별시 영등포구 신길로28길 25,41520
영등포구,신길동,신길파크자이,641,2022.02,82.16,59.95,24.85,160000,16억,169500,152000,서울특별시 영등포구 신길로28길 25,41520
영등포구,신길동,우성(2차),725,1986.09,102.76,84.47,31.08,146000,"14억 6,000만 원",150000,141500,서울특별시 영등포구 대방천로 180,2222
영등포구,신길동,포레나신길,284,2008.06,106.28,84.58,32.15,143500,"14억 3,500만 원",148000,140000,서울특별시 영등포구 신길로 119,15607
영등포구,신길동,포레나신길,284,2008.06,106.42,84.92,32.19,143500,"14억 3,500만 원",148000,140000,서울특별시 영등포구 신길로 119,15607
영등포구,신길동,포레나신길,284,2008.06,125.99,101.91,38.11,146500,"14억 6,500만 원",150500,141500,서울특별시 영등포구 신길로 119,15607
영등포구,신길동,포레나신길,284,2008.06,150.10,120.69,45.40,150500,15억 500만 원,154500,147000,서울특별시 영등포구 신길로 119,15607
영등포구,양평동1가,영등포중흥S-클래스,308,2021.03,118.02,84.85,35.70,145000,"14억 5,000만 원",150000,135000,서울특별시 영등포구 선유서로24길 6,41967
영등포구,양평동1가,영등포중흥S-클래스,308,2021.03,117.27,84.95,35.47,150000,15억,155000,140000,서울특별시 영등포구 선유서로24길 6,41967
영등포구,양평동3가,거성파스텔,532,1999.05,107.99,84.99,32.66,142500,"14억 2,500만 원",147000,132500,서울특별시 영등포구 선유로43가길 24,2285
영등포구,양평동3가,거성파스텔,532,1999.05,158.82,131.34,48.04,146000,"14억 6,000만 원",150000,138500,서울특별시 영등포구 선유로43가길 24,2285
영등포구,양평동3가,양평동6차현대,770,2000.12,102.85,84.92,31.11,142500,"14억 2,500만 원",149500,128500,서울특별시 영등포구 선유로 207,2294
영등포구,양평동3가,양평동6차현대,770,2000.12,102.87,84.94,31.11,142500,"14억 2,500만 원",149500,128500,서울특별시 영등포구 선유로 207,2294
영등포구,양평동5가,양평동한신,1215,1996.04,109.97,84.87,33.26,147500,"14억 7,500만 원",152000,137500,서울특별시 영등포구 양평로24길 9,2284
영등포구,여의도동,콤비,98,1994.08,191.51,127.82,57.93,145000,"14억 5,000만 원",152500,137500,서울특별시 영등포구 63로 32,2186
영등포구,여의도동,콤비,98,1994.08,183.38,122.40,55.47,156500,"15억 6,500만 원",162500,150000,서울특별시 영등포구 63로 32,2186
영등포구,영등포동,영등포푸르지오,2462,2002.05,85.25,59.91,25.79,145000,"14억 5,000만 원",149000,131000,서울특별시 영등포구 도신로29길 28,2196
영등포구,영등포동,영등포푸르지오,2462,2002.05,100.88,73.13,30.51,150000,15억,154000,139000,서울특별시 영등포구 도신로29길 28,2196
영등포구,영등포동,영등포푸르지오,2462,2002.05,109.80,79.77,33.21,154000,"15억 4,000만 원",160500,142500,서울특별시 영등포구 도신로29길 28,2196
영등포구,영등포동,영등포푸르지오,2462,2002.05,115.80,84.84,35.03,154000,"15억 4,000만 원",160500,143000,서울특별시 영등포구 도신로29길 28,2196
영등포구,영등포동,영등포푸르지오,2462,2002.05,115.86,84.90,35.04,154000,"15억 4,000만 원",160500,143000,서울특별시 영등포구 도신로29길 28,2196
영등포구,영등포동7가,경남아너스빌,600,1998.11,141.02,114.77,42.65,142500,"14억 2,500만 원",152500,137500,서울특별시 영등포구 양산로 177,2191
영등포구,영등포동7가,포레나영등포센트럴,185,2020.10,83.15,59.89,25.15,141000,"14억 1,000만 원",144000,137500,서울특별시 영등포구 국회대로50길 20,39091
영등포구,영등포동8가,당산푸르지오,538,2004.08,79.78,59.70,24.13,145000,"14억 5,000만 원",150000,137500,서울특별시 영등포구 영중로 154,12843
영등포구,영등포동8가,당산푸르지오,538,2004.08,99.99,79.33,30.24,155000,"15억 5,000만 원",160000,146500,서울특별시 영등포구 영중로 154,12843
영등포구,영등포동8가,당산푸르지오,538,2004.08,106.49,84.98,32.21,160000,16억,165000,151000,서울특별시 영등포구 영중로 154,12843
영등포구,영등포동8가,영등포삼환,520,1999.05,107.73,84.87,32.58,150000,15억,160000,142500,서울특별시 영등포구 영중로 145,2192
용산구,문배동,용산아크로타워,208,2007.01,103.12,84.97,31.19,150500,15억 500만 원,155000,146000,서울특별시 용산구 백범로90길 26,14883
용산구,문배동,이안용산1차,266,2005.11,134.13,107.53,40.57,150000,15억,155000,145000,서울특별시 용산구 백범로90길 74,13732
용산구,문배동,이안용산프리미어,188,2007.07,112.03,84.98,33.88,149000,"14억 9,000만 원",157000,140000,서울특별시 용산구 청파로 213,15001
용산구,문배동,이안용산프리미어,188,2007.07,143.73,109.03,43.47,160000,16억,166000,155000,서울특별시 용산구 청파로 213,15001
용산구,문배동,이안용산프리미어,188,2007.07,144.67,109.74,43.76,160000,16억,166000,155000,서울특별시 용산구 청파로 213,15001
용산구,문배동,이안용산프리미어,188,2007.07,145.20,110.14,43.92,160000,16억,166000,155000,서울특별시 용산구 청파로 213,15001
용산구,산천동,리버힐삼성,1102,2001.01,75.06,59.55,22.70,152000,"15억 2,000만 원",157000,142500,서울특별시 용산구 효창원로 17,2342
용산구,산천동,리버힐삼성,1102,2001.01,75.61,59.98,22.87,152000,"15억 2,000만 원",158000,143500,서울특별시 용산구 효창원로 17,2342
용산구,용문동,브라운스톤용산,195,2011.07,79.44,59.94,24.03,145000,"14억 5,000만 원",150000,137500,서울특별시 용산구 효창원로 88,21941
용산구,원효로1가,리첸시아용산,260,2010.04,108.19,84.98,32.72,159000,"15억 9,000만 원",165500,151500,서울특별시 용산구 백범로 341,21864
용산구,원효로1가,리첸시아용산,260,2010.04,109.04,84.83,32.98,159000,"15억 9,000만 원",165500,151500,서울특별시 용산구 백범로 341,21864
용산구,원효로1가,용산더프라임,559,2014.02,77.34,55.32,23.39,140000,14억,150000,130000,서울특별시 용산구 원효로90길 11,24353
용산구,원효로1가,용산더프라임,559,2014.02,77.62,55.98,23.48,140000,14억,150000,130000,서울특별시 용산구 원효로90길 11,24353
