구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
수정구,신흥동,산성역자이푸르지오3단지,840,2024.03,109.28,84.93,33.06,140000,14억,147500,130000,경기도 성남시 수정구 희망로 531,1507771
수정구,신흥동,산성역포레스티아,4089,2020.07,95.99,74.98,29.03,144500,"14억 4,500만 원",148000,140000,경기도 성남시 수정구 수정로 319,39024
수정구,신흥동,산성역포레스티아,4089,2020.07,96.59,74.96,29.21,144500,"14억 4,500만 원",148000,140000,경기도 성남시 수정구 수정로 319,39024
수정구,신흥동,산성역포레스티아,4089,2020.07,108.52,84.92,32.82,148000,"14억 8,000만 원",154000,142500,경기도 성남시 수정구 수정로 319,39024
수정구,신흥동,산성역포레스티아,4089,2020.07,108.99,84.96,32.96,148000,"14억 8,000만 원",154000,142500,경기도 성남시 수정구 수정로 319,39024
수정구,신흥동,산성역포레스티아,4089,2020.07,107.37,84.77,32.47,152500,"15억 2,500만 원",157500,146500,경기도 성남시 수정구 수정로 319,39024
수정구,신흥동,산성역포레스티아,4089,2020.07,125.26,98.68,37.89,155000,"15억 5,000만 원",162000,147500,경기도 성남시 수정구 수정로 319,39024
수정구,창곡동,위례센트럴자이,1413,2017.06,75.22,51.89,22.75,154500,"15억 4,500만 원",164500,147500,경기도 성남시 수정구 위례광장로 97,29993
양천구,목동,대원칸타빌1차,154,2001.09,107.55,81.23,32.53,145000,"14억 5,000만 원",150000,140000,서울특별시 양천구 목동로 224,2045
양천구,목동,대원칸타빌1차,154,2001.09,112.43,84.91,34.01,146000,"14억 6,000만 원",151500,140000,서울특별시 양천구 목동로 224,2045
양천구,목동,대원칸타빌1차,154,2001.09,112.50,84.97,34.03,146000,"14억 6,000만 원",151500,140000,서울특별시 양천구 목동로 224,2045
양천구,목동,대원칸타빌1차,154,2001.09,142.02,107.26,42.96,157500,"15억 7,500만 원",164000,151500,서울특별시 양천구 목동로 224,2045
양천구,목동,목동2차IPARK,111,2004.08,104.70,84.85,31.67,143000,"14억 3,000만 원",150000,135500,서울특별시 양천구 목동중앙로 79,12827
양천구,목동,목동e편한세상,276,2006.07,106.60,84.93,32.24,150000,15억,154000,145000,서울특별시 양천구 목동중앙로7길 32,14230
양천구,목동,목동금호1차,224,1997.10,92.22,59.88,27.89,140000,14억,145000,135000,서울특별시 양천구 목동동로 258,2024
양천구,목동,목동금호어울림,371,2004.11,126.45,102.13,38.25,142000,"14억 2,000만 원",146000,137000,서울특별시 양천구 목동중앙서로 37,12854
양천구,목동,목동금호어울림,371,2004.11,106.41,84.93,32.18,146500,"14억 6,500만 원",150000,137500,서울특별시 양천구 목동중앙서로 37,12854
양천구,목동,목동금호어울림,371,2004.11,106.79,84.99,32.30,146500,"14억 6,500만 원",150000,137500,서울특별시 양천구 목동중앙서로 37,12854
양천구,목동,목동금호어울림,371,2004.11,148.23,120.12,44.83,151000,"15억 1,000만 원",154000,147500,서울특별시 양천구 목동중앙서로 37,12854
양천구,목동,목동대림(2차),262,1994.06,103.76,84.82,31.38,155000,"15억 5,000만 원",162500,145000,서울특별시 양천구 목동동로12길 23,2019
양천구,목동,"목동대원칸타빌(2,3단지)",511,2003.06,104.51,83.72,31.61,147500,"14억 7,500만 원",152500,139500,서울특별시 양천구 목동중앙로 11,1082271
