id,name,type,lat,lon,address,operator,source
station_unique:776,오목교(목동운동장앞),5호선,37.524557,126.875049,서울특별시 양천구 오목로 지하342(목동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:777,오목천역,수인선,37.243011,126.9636354,경기도 수원시 권선구 삼천병마로 1576(오목천동),한국철도공사,전체_도시철도역사정보_20260228
station_unique:778,오빈역,경의중앙선,37.506061,127.474053,경기도 양평군 양평읍 덕바위길 58,한국철도공사,전체_도시철도역사정보_20260228
station_unique:779,오산대역,경부선,37.169401,127.063081,경기도 오산시 청학로 236,한국철도공사,전체_도시철도역사정보_20260228
station_unique:780,오산역,경부선,37.145472,127.066708,경기도 오산시 오산동 역광장로 59,한국철도공사,전체_도시철도역사정보_20260228
station_unique:781,오시리아역,동해선,35.196256,129.208291,부산광역시 기장군 기장읍 당사리 261-8,한국철도공사,전체_도시철도역사정보_20260228
station_unique:782,오이도역,수인선|안산과천선,37.361773,126.738437,경기도 시흥시 역전로 430,한국철도공사,전체_도시철도역사정보_20260228
station_unique:783,옥수,3호선,37.541653,127.017303,서울특별시 성동구 동호로 21(옥수동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:784,옥수역,경원선,37.540514,127.018698,서울시 성동구 동호로 지하21(옥수동),한국철도공사,전체_도시철도역사정보_20260228
station_unique:785,온수(성공회대입구),7호선,37.492059,126.823294,서울특별시 구로구 경인로3길 지하64(온수동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:786,온수역,경인선,37.492267,126.823399,서울시 구로구 부일로 872,한국철도공사,전체_도시철도역사정보_20260228
station_unique:787,온양온천역,장항선,36.780419,127.003707,충남 아산시 온천대로 1496(온천동 56-9),한국철도공사,전체_도시철도역사정보_20260228
station_unique:788,온천장,부산 도시철도 1호선,35.22056,129.08667,부산광역시 동래구 중앙대로 1520,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:789,올림픽공원(한국체대),수도권  도시철도 9호선,37.516111,127.130333,서울특별시 송파구 양재대로 지하 1233,서울시메트로9호선㈜,전체_도시철도역사정보_20260228
